,T1R1,T1R2,T2R1,T2R2,T3R1,T4R1,T4R2,T5R1,T5R2,T6R1,T6R2,T7R1,T7R2,T8R1,T8R2,T9R1,T9R2,T10R1,T10R2,T11R1,T11R2
AT1G17040,2.734905486,2.573743859,2.648230648,2.906710686,2.133469888,3.029022339,2.636816496,2.579757717,2.56288385,2.643772852,2.74200352,2.656537515,2.693433218,2.001646272,1.767492444,2.474736973,2.342051519,2.628983791,3.173988339,2.77238775,2.537867949
AT1G17460,1.621085586,1.228186017,3.391257995,3.057718474,4.234073829,4.219353551,4.727419045,3.182959336,3.204429879,2.358100643,2.45430706,1.41009962,0.8189641,2.678176013,2.725844746,1.804527186,1.80892795,1.621410571,0.957670433,2.142033346,1.960322919
AT1G17520,3.276095585,3.351785396,2.898554002,3.242501434,2.422976506,2.267182076,2.636816496,2.980962944,2.79677191,3.086617047,3.40882429,2.245468918,2.403926601,3.007798499,2.852883935,3.093463455,2.961779438,2.364437918,3.06003215,3.228333193,2.971378108
AT1G17590,1.704743515,1.280180655,0.833262542,1.993588136,1.165178748,1.444059838,2.525785184,2.441152479,2.283600092,2.271295815,2.015864956,0.261236234,0.922057593,1.951460515,2.137860894,1.498195946,1.938695825,1.16007942,0.570647309,1.237611006,0.795936101
AT1G17920,2.673937469,2.552758834,2.487765976,2.066651598,0.729079633,0.550975042,-0.533108505,2.416699436,2.136258376,2.572951515,2.169215733,1.570564292,1.61866545,1.789493035,1.539223456,2.895675074,2.219715976,1.845970829,2.15560981,1.9745766,2.004044297
AT1G18330,1.532276319,2.111053384,6.198612917,5.529317961,7.633847057,7.736558456,7.763042955,1.850115464,1.900880313,2.608796714,3.199210473,6.790921404,6.568895586,2.678176013,2.371872398,4.692052457,4.19719854,7.233017844,7.456109041,6.883685021,6.830497923
AT1G18400,0.078558352,0.799851695,2.009112377,2.803617193,2.94539754,3.852144577,3.948018184,1.568702529,1.746846685,2.080247522,2.240182254,3.155526793,3.203627951,1.197370743,1.267921434,2.216424978,2.432960015,3.647744719,3.812722097,3.265091743,2.706139431
AT1G18570,3.101890856,2.83938006,1.504639794,3.474994445,-1.773420707,-2.25637988,-0.533108505,-0.061347861,0.95465157,0.751921656,1.296765783,-0.802894104,-0.7659984,2.932181453,3.296653153,0.088320152,1.628355704,0.18083798,0.32963921,0.596064977,-1.254689972
AT1G18710,0.981261151,1.402516198,1.504639794,1.993588136,0.101048411,1.203051738,0.203857089,4.222291749,4.35532278,3.739848824,3.870587726,2.112713709,2.633932207,2.119966239,2.447029758,4.199828467,3.942568834,3.057179512,2.978732048,2.427942218,2.537867949
AT1G18750,0.599390515,1.515284128,1.961018089,2.101841027,1.499597787,2.38747631,2.274246417,1.955725652,1.574379489,1.563849308,1.78219261,0.947127643,1.018272909,2.001646272,1.836205194,2.178205655,1.282180063,1.355335711,1.262525014,1.378473542,1.223357325
AT1G19000,7.257601998,7.392770085,7.284778954,7.492087694,7.388970622,7.330459908,7.442261828,6.216105604,6.119681096,6.3666315,6.43363862,7.458346064,7.346585905,5.344385772,5.422099367,6.974800622,6.68897959,7.709543239,7.868092719,7.25198919,7.007404874
AT1G19220,4.04283643,3.87996187,3.594074878,3.501588655,2.422976506,2.601601115,2.926323113,2.706206053,2.585784252,2.837497388,3.302303966,1.352384122,1.421628603,2.693523977,2.917735079,3.051794276,2.976965842,1.280373654,1.393769547,1.237611006,1.147408472
